cidade_slug,cidade_origem,vende_ftth,vende_5g,vende_fwa,lancamento_comercial
caninde-de-sao-francisco-se,CANINDE DE SAO FRANCISCO/SE,true,true,true,2025-05-14
mari-pb,MARI/PB,false,true,true,2025-04-04
forquilha-ce,FORQUILHA/CE,true,true,false,2025-05-14
campos-sales-ce,CAMPOS SALES/CE,false,true,true,2024-08-30
ipueiras-ce,IPUEIRAS/CE,false,true,true,2024-07-24
barauna-rn,BARAUNA/RN,false,true,true,2024-02-27
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,false,true,true,2024-10-18
guaiuba-ce,GUAIUBA/CE,true,true,true,2024-09-03
jaguaruana-ce,JAGUARUANA/CE,true,true,true,2024-01-11
jeremoabo-ba,JEREMOABO/BA,false,true,false,2024-09-03
areia-branca-rn,AREIA BRANCA/RN,false,true,false,2024-12-06
conde-pb,CONDE/PB,true,true,false,2025-05-29
solanea-pb,SOLANEA/PB,true,true,false,2024-09-19
apodi-rn,APODI/RN,false,true,true,2024-03-27
goianinha-rn,GOIANINHA/RN,false,true,true,2025-01-28
macau-rn,MACAU/RN,false,true,true,2024-07-22
beberibe-ce,BEBERIBE/CE,false,true,true,2025-02-06
esperanca-pb,ESPERANCA/PB,true,true,true,2024-12-20
joao-camara-rn,JOAO CAMARA/RN,true,true,true,2024-08-23
nova-cruz-rn,NOVA CRUZ/RN,false,true,true,2025-04-08
varzea-alegre-ce,VARZEA ALEGRE/CE,false,true,true,2024-12-06
catole-do-rocha-pb,CATOLE DO ROCHA/PB,false,true,true,2024-09-03
pentecoste-ce,PENTECOSTE/CE,true,true,true,2024-11-12
custodia-pe,CUSTODIA/PE,true,true,true,2024-11-22
massape-ce,MASSAPE/CE,false,true,false,2024-05-06
santa-quiteria-ce,SANTA QUITERIA/CE,true,true,true,2025-05-06
trairi-ce,TRAIRI/CE,false,true,true,2024-03-21
canguaretama-rn,CANGUARETAMA/RN,false,true,true,2024-09-19
baturite-ce,BATURITE/CE,false,true,false,2024-12-06
granja-ce,GRANJA/CE,false,true,true,2024-11-16
nisia-floresta-rn,NISIA FLORESTA/RN,false,true,false,2024-09-03
sao-bento-pb,SAO BENTO/PB,false,true,true,2024-09-04
pombal-pb,POMBAL/PB,true,true,true,2024-03-14
paracuru-ce,PARACURU/CE,true,true,true,2025-09-16
queimadas-pb,QUEIMADAS/PB,true,true,true,2024-03-10
acarau-ce,ACARAU/CE,false,true,true,2024-11-26
sao-caitano-pe,SAO CAITANO/PE,true,true,true,2024-11-16
bom-conselho-pe,BOM CONSELHO/PE,true,true,true,2024-07-24
sao-jose-de-mipibu-rn,SAO JOSE DE MIPIBU/RN,false,true,true,2025-06-20
santa-cruz-rn,SANTA CRUZ/RN,true,true,false,2025-02-10
ouricuri-pe,OURICURI/PE,true,true,true,2024-12-17
currais-novos-rn,CURRAIS NOVOS/RN,false,true,true,2024-11-16
mamanguape-pb,MAMANGUAPE/PB,true,true,true,2025-03-28
sape-pb,SAPE/PB,false,true,true,2024-02-06
toritama-pe,TORITAMA/PE,false,true,true,2025-02-26
delmiro-gouveia-al,DELMIRO GOUVEIA/AL,false,true,true,2025-07-09
assu-rn,ASSU/RN,true,true,true,2025-08-12
pesqueira-pe,PESQUEIRA/PE,true,true,false,2025-05-14
camocim-ce,CAMOCIM/CE,true,true,true,2025-04-03
aracati-ce,ARACATI/CE,true,true,true,2025-05-06
moreno-pe,MORENO/PE,false,true,true,2024-08-07
salgueiro-pe,SALGUEIRO/PE,true,true,false,2024-03-21
araripina-pe,ARARIPINA/PE,false,true,true,2025-05-06
caninde-ce,CANINDE/CE,true,true,true,2024-11-11
cajazeiras-pb,CAJAZEIRAS/PB,true,true,true,2025-03-11
bezerros-pe,BEZERROS/PE,true,true,true,2024-04-08
ceara-mirim-rn,CEARA MIRIM/RN,true,true,true,2024-12-06
sousa-pb,SOUSA/PB,true,true,true,2024-12-13
extremoz-rn,EXTREMOZ/RN,true,true,true,2024-09-19
caico-rn,CAICO/RN,true,true,true,2025-02-04
pacajus-ce,PACAJUS/CE,true,true,true,2024-09-19
macaiba-rn,MACAIBA/RN,true,true,true,2024-11-16
cabedelo-pb,CABEDELO/PB,true,true,true,2024-07-24
belo-jardim-pe,BELO JARDIM/PE,true,true,true,2024-09-19
arcoverde-pe,ARCOVERDE/PE,true,true,true,2025-07-09
serra-talhada-pe,SERRA TALHADA/PE,true,true,true,2025-04-03
gravata-pe,GRAVATA/PE,true,true,true,2025-04-03
bayeux-pb,BAYEUX/PB,true,true,true,2025-07-01
paulo-afonso-ba,PAULO AFONSO/BA,true,true,true,2025-05-06
patos-pb,PATOS/PB,true,true,true,2024-11-14
sao-goncalo-do-amarante-rn,SAO GONCALO DO AMARANTE/RN,true,true,false,2025-05-14
santa-rita-pb,SANTA RITA/PB,true,true,true,2024-11-21
parnaiba-pi,PARNAIBA/PI,true,true,true,2024-09-19
timon-ma,TIMON/MA,true,true,true,2024-11-14
sobral-ce,SOBRAL/CE,true,true,true,2025-05-06
juazeiro-ba,JUAZEIRO/BA,true,true,true,2025-05-06
mossoro-rn,MOSSORO/RN,true,true,true,2024-09-19
parnamirim-rn,PARNAMIRIM/RN,true,true,true,2025-08-12
caruaru-pe,CARUARU/PE,true,true,true,2024-07-08
petrolina-pe,PETROLINA/PE,true,true,true,2024-09-19
campina-grande-pb,CAMPINA GRANDE/PB,true,true,true,2025-02-26
natal-rn,NATAL/RN,true,true,true,2025-08-12
teresina-pi,TERESINA/PI,true,true,true,2024-10-28
joao-pessoa-pb,JOAO PESSOA/PB,true,true,true,2024-09-19
fortaleza-ce,FORTALEZA/CE,true,true,true,2025-06-13
sao-francisco-pb,SAO FRANCISCO/PB,true,true,true,2025-01-29
lastro-pb,LASTRO/PB,true,true,true,2024-03-15
bom-sucesso-pb,BOM SUCESSO/PB,false,true,false,2026-02-25
lagoa-pb,LAGOA/PB,false,true,false,2026-02-05
felipe-guerra-rn,FELIPE GUERRA/RN,false,true,false,2026-02-05
junco-do-serido-pb,JUNCO DO SERIDO/PB,false,true,false,2026-02-20
jose-da-penha-rn,JOSE DA PENHA/RN,true,true,false,2026-02-20
choro-ce,CHORO/CE,false,true,false,2026-01-06
almino-afonso-rn,ALMINO AFONSO/RN,false,true,false,2026-06-23
antonio-martins-rn,ANTONIO MARTINS/RN,false,true,false,2026-06-09
campo-grande-rn,CAMPO GRANDE/RN,false,true,false,2026-06-24
joao-dias-rn,JOAO DIAS/RN,false,true,false,2026-06-23
lucrecia-rn,LUCRECIA/RN,false,true,false,2026-06-10
jerico-pb,JERICO/PB,true,true,false,2026-06-02
rodolfo-fernandes-rn,RODOLFO FERNANDES/RN,true,true,false,2026-05-30
mato-grosso-pb,MATO GROSSO/PB,true,true,false,2026-06-02
prata-pb,PRATA/PB,true,true,false,2026-04-13
catarina-ce,CATARINA/CE,false,true,false,2026-04-13
aratuba-ce,ARATUBA/CE,false,true,false,2026-05-04
general-sampaio-ce,GENERAL SAMPAIO/CE,false,true,false,2026-03-24
olho-dagua-do-borges-rn,OLHO DAGUA DO BORGES/RN,true,true,false,2026-04-01
olho-dagua-das-flores-al,OLHO DAGUA DAS FLORES/AL,false,true,false,2026-03-24
senador-eloi-de-souza-rn,SENADOR ELOI DE SOUZA/RN,false,true,false,2026-05-02
vila-nova-do-piaui-pi,VILA NOVA DO PIAUI/PI,true,true,false,2026-06-09
marechal-deodoro-al,MARECHAL DEODORO/AL,false,true,false,2026-05-08
maceio-al,MACEIO/AL,false,true,false,2026-04-01
rio-largo-al,RIO LARGO/AL,false,true,false,2026-05-08
bom-jesus-pb,BOM JESUS/PB,false,true,false,2026-03-20
granjeiro-ce,GRANJEIRO/CE,false,true,false,2026-04-27
hidrolandia-ce,HIDROLANDIA/CE,false,true,false,2026-07-08
sao-joao-do-jaguaribe-ce,SAO JOAO DO JAGUARIBE/CE,false,true,false,2026-04-27
bom-jesus-rn,BOM JESUS/RN,false,true,false,2026-05-23
tavares-pb,TAVARES/PB,false,true,false,2026-05-04
condado-pb,CONDADO/PB,false,true,true,2026-06-09
palmacia-ce,PALMACIA/CE,false,true,false,2026-06-23
