cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
missao-velha-ce,MISSAO VELHA/CE,5g,2026-01-01,3,0,1,0,0,2,0,0.3981,4
mombaca-ce,MOMBACA/CE,ftth,2026-01-01,4,1,2,0,1,0,0,0.8,2
mombaca-ce,MOMBACA/CE,5g,2026-01-01,4,1,0,1,2,0,0,0.6625,3
morada-nova-ce,MORADA NOVA/CE,ftth,2026-01-01,5,2,1,1,1,0,0,0.8333,2
morada-nova-ce,MORADA NOVA/CE,5g,2026-01-01,5,4,0,0,1,0,0,1.2211,1
mossoro-rn,MOSSORO/RN,ftth,2026-01-01,15,0,1,4,3,6,1,0.406,4
mossoro-rn,MOSSORO/RN,5g,2026-01-01,15,3,0,0,0,0,12,2.053,1
natal-rn,NATAL/RN,ftth,2026-01-01,37,5,7,4,10,11,0,0.582,4
natal-rn,NATAL/RN,5g,2026-01-01,37,5,0,1,0,1,30,1.1449,1
nisia-floresta-rn,NISIA FLORESTA/RN,ftth,2026-01-01,2,0,0,0,1,1,0,0.25,5
nisia-floresta-rn,NISIA FLORESTA/RN,5g,2026-01-01,2,0,1,1,0,0,0,0.7,3
nossa-senhora-do-socorro-se,NOSSA SENHORA DO SOCORRO/SE,ftth,2026-01-01,3,2,0,0,0,0,1,1.9643,1
olho-d-agua-das-flores-al,OLHO D'AGUA DAS FLORES/AL,ftth,2026-01-01,2,1,0,0,0,1,0,1,1
olho-d-agua-das-flores-al,OLHO D'AGUA DAS FLORES/AL,5g,2026-01-01,2,0,0,1,0,1,0,0.4,4
oros-ce,OROS/CE,ftth,2026-01-01,3,3,0,0,0,0,0,1.8651,1
oros-ce,OROS/CE,5g,2026-01-01,3,2,0,0,0,1,0,0.8594,2
ouricuri-pe,OURICURI/PE,ftth,2026-01-01,5,2,0,1,1,1,0,0.65,3
ouricuri-pe,OURICURI/PE,5g,2026-01-01,5,0,0,0,2,0,3,0.5263,4
pacajus-ce,PACAJUS/CE,ftth,2026-01-01,4,2,1,0,1,0,0,0.8726,2
pacajus-ce,PACAJUS/CE,5g,2026-01-01,4,2,0,0,0,0,2,1.5,1
palmeira-dos-indios-al,PALMEIRA DOS INDIOS/AL,ftth,2026-01-01,2,1,0,0,0,0,1,1.4783,1
paraipaba-ce,PARAIPABA/CE,ftth,2026-01-01,4,1,1,1,0,0,1,0.9154,2
paraipaba-ce,PARAIPABA/CE,5g,2026-01-01,4,1,0,0,0,0,3,1.38,1
parnaiba-pi,PARNAIBA/PI,ftth,2026-01-01,12,4,1,1,4,1,1,0.7589,3
parnaiba-pi,PARNAIBA/PI,5g,2026-01-01,12,1,0,0,0,0,11,1.3684,1
parnamirim-rn,PARNAMIRIM/RN,ftth,2026-01-01,12,3,1,2,4,1,1,0.8375,2
parnamirim-rn,PARNAMIRIM/RN,5g,2026-01-01,12,2,0,2,0,0,8,1.3455,1
patos-pb,PATOS/PB,ftth,2026-01-01,9,3,0,1,4,0,1,1.0458,1
patos-pb,PATOS/PB,5g,2026-01-01,9,3,0,0,0,0,6,1.4741,1
pau-dos-ferros-rn,PAU DOS FERROS/RN,ftth,2026-01-01,6,2,0,2,1,1,0,0.7315,3
pau-dos-ferros-rn,PAU DOS FERROS/RN,5g,2026-01-01,6,3,0,0,0,3,0,0.66,3
paulista-pe,PAULISTA/PE,ftth,2026-01-01,3,2,0,0,0,1,0,1.2083,1
paulo-afonso-ba,PAULO AFONSO/BA,ftth,2026-01-01,2,1,0,1,0,0,0,1.1846,1
paulo-afonso-ba,PAULO AFONSO/BA,5g,2026-01-01,2,1,1,0,0,0,0,1.1167,1
pedra-branca-ce,PEDRA BRANCA/CE,ftth,2026-01-01,3,1,0,0,0,1,1,0.5833,4
pedra-branca-ce,PEDRA BRANCA/CE,5g,2026-01-01,3,1,1,0,0,0,1,1.1831,1
pereiro-ce,PEREIRO/CE,ftth,2026-01-01,71,0,0,0,34,29,8,0.2816,5
pereiro-ce,PEREIRO/CE,5g,2026-01-01,71,1,0,1,6,22,41,0.1706,5
pesqueira-pe,PESQUEIRA/PE,ftth,2026-01-01,2,0,0,0,1,1,0,0.2917,5
pesqueira-pe,PESQUEIRA/PE,5g,2026-01-01,2,0,0,0,1,0,1,0.3636,4
petrolina-pe,PETROLINA/PE,ftth,2026-01-01,10,4,2,2,0,1,1,0.8042,2
petrolina-pe,PETROLINA/PE,5g,2026-01-01,10,1,0,0,0,0,9,1.375,1
picos-pi,PICOS/PI,ftth,2026-01-01,1,1,0,0,0,0,0,1.5,1
piranhas-al,PIRANHAS/AL,ftth,2026-01-01,1,1,0,0,0,0,0,1.3333,1
piranhas-al,PIRANHAS/AL,5g,2026-01-01,1,0,0,0,0,1,0,0.2,5
piripiri-pi,PIRIPIRI/PI,ftth,2026-01-01,3,2,0,0,0,0,1,1.0909,1
