cidade_slug,cidade_origem,tecnologia,indicador_id,canal,mes_ref,semana_mes,primeiro_dia_semana,ultimo_dia_semana,valor
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,5
itapipoca-ce,ITAPIPOCA/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,21
jaguaretama-ce,JAGUARETAMA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,7
jaguaretama-ce,JAGUARETAMA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,8
jaguaribara-ce,JAGUARIBARA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,13
jaguaribara-ce,JAGUARIBARA/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,4
jaguaribe-ce,JAGUARIBE/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,2
jaguaribe-ce,JAGUARIBE/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,20
jaguaribe-ce,JAGUARIBE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,25
jaguaribe-ce,JAGUARIBE/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,2
jaguaruana-ce,JAGUARUANA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,22
jaguaruana-ce,JAGUARUANA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
jaguaruana-ce,JAGUARUANA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,1
jandaira-rn,JANDAIRA/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,3
jardim-de-piranhas-rn,JARDIM DE PIRANHAS/RN,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,7
jardim-de-piranhas-rn,JARDIM DE PIRANHAS/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,2
jati-ce,JATI/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,13
jatoba-pe,JATOBA/PE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,18
jeremoabo-ba,JEREMOABO/BA,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,2
jeremoabo-ba,JEREMOABO/BA,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,33
jerico-pb,JERICO/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,2
jijoca-de-jericoacoara-ce,JIJOCA DE JERICOACOARA/CE,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,7
jijoca-de-jericoacoara-ce,JIJOCA DE JERICOACOARA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,1
joao-camara-rn,JOAO CAMARA/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
joao-camara-rn,JOAO CAMARA/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,20
joao-camara-rn,JOAO CAMARA/RN,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,1
joao-camara-rn,JOAO CAMARA/RN,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
joao-camara-rn,JOAO CAMARA/RN,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,1
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,B2B,2025-09-01,2,2025-09-08,2025-09-14,2
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,93
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,35
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,NGC,2025-09-01,2,2025-09-08,2025-09-14,80
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,107
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,4
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,20
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,17
joao-pessoa-pb,JOAO PESSOA/PB,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,14
joca-claudino-pb,JOCA CLAUDINO/PB,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,3
jose-da-penha-rn,JOSE DA PENHA/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
jose-da-penha-rn,JOSE DA PENHA/RN,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,1
jose-de-freitas-pi,JOSE DE FREITAS/PI,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,1
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,AGENTE PARCEIROS,2025-09-01,2,2025-09-08,2025-09-14,235
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,17
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,73
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,87
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,15
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,VAREJO QUIOSQUE,2025-09-01,2,2025-09-08,2025-09-14,24
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,35
juazeiro-do-norte-ce,JUAZEIRO DO NORTE/CE,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,4
juazeiro-ba,JUAZEIRO/BA,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,22
juazeiro-ba,JUAZEIRO/BA,5g,ativacao,SEM NICHO,2025-09-01,2,2025-09-08,2025-09-14,3
jucas-ce,JUCAS/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
jucas-ce,JUCAS/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,19
jucurutu-rn,JUCURUTU/RN,5g,ativacao,AGILITY,2025-09-01,2,2025-09-08,2025-09-14,21
jucurutu-rn,JUCURUTU/RN,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,1
jucurutu-rn,JUCURUTU/RN,5g,ativacao,VAREJO REDES,2025-09-01,2,2025-09-08,2025-09-14,1
lajeado-rs,LAJEADO/RS,5g,ativacao,VAREJO VOLANTE,2025-09-01,2,2025-09-08,2025-09-14,1
lajes-rn,LAJES/RN,5g,ativacao,NGC,2025-09-01,2,2025-09-08,2025-09-14,1
lajes-rn,LAJES/RN,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,9
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,1
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,5g,ativacao,LOJA,2025-09-01,2,2025-09-08,2025-09-14,5
lavras-da-mangabeira-ce,LAVRAS DA MANGABEIRA/CE,5g,ativacao,PAP,2025-09-01,2,2025-09-08,2025-09-14,5
limoeiro-do-norte-ce,LIMOEIRO DO NORTE/CE,5g,ativacao,INDICA BRISA,2025-09-01,2,2025-09-08,2025-09-14,2
